"LOCATION","Country","VAR","Variable","EDI","Edition","Frequency","Time","Unit","Value"
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",61808489485
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",69265323675
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",55256093534
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",69506457619
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",67865125171
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",66149180220
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",64873046651
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",55754638840
"DEU","Germany",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",59605134289
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",-1252807083
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",-1028707882
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",1117332619
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",-272817654
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",-514397397
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",-611884414
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",-392811114
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-1530907076
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",-399739158
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",-530226552
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",-611094356
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",-1619939934
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",-508937661
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",-1451834448
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",-2007542845
"GRC","Greece",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",-1361685046
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",426501100000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",155050400000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",243125500000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",107178100000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",578608800000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",665045600000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",673469800000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",259127700000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",2.99219e+11
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",467226900000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",291096100000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",11595700000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",2.51424e+11
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",174586800000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",-91860900000
"HUN","Hungary",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",-145709600000
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",23411263081
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",38686596427
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",19318338015
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",35746802477
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",27112507989
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",40125414008
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",56193173946
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",63512904058
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",29214146504
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",17707558633
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",18083779785
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",30328515079
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",21075989543
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",11101985363
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",22518302603
"ISL","Iceland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",26755722491
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",4158354488
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",6762128479
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",562593321
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",72923712
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",-432720
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",-4202256822
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",-5016898855
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-2152411603
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",4567408155
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",-2913253361
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",10658110599
