"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,11846400000,,
"IRL","Ireland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,12163700000,,
"IRL","Ireland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,13088800000,,
"IRL","Ireland","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,13339600000,,
"IRL","Ireland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,8345300000,,
"IRL","Ireland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,8275700000,,
"IRL","Ireland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,7640000000,,
"IRL","Ireland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,8771700000,,
"IRL","Ireland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,6835200000,,
"ITA","Italy","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,38505300000,,
"ITA","Italy","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,39900300000,,
"ITA","Italy","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,39158200000,,
"ITA","Italy","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,38786700000,,
"ITA","Italy","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,39631300000,,
"ITA","Italy","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,36303600000,,
"ITA","Italy","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,36772100000,,
"ITA","Italy","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,36097400000,,
"ITA","Italy","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,36387800000,,
"ITA","Italy","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,35690400000,,
