"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","2014","2014","PC","Percentage","0","Units",,,-20.41,,
"AUS","Australia","SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","2015","2015","PC","Percentage","0","Units",,,5.13,,
"AUS","Australia","SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","2016","2016","PC","Percentage","0","Units",,,-12.2,,
"AUS","Australia","SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","2017","2017","PC","Percentage","0","Units",,,-11.11,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2007","2007","EUR","Euro","9","Billions",,,123.07,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2008","2008","EUR","Euro","9","Billions",,,134.9,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2009","2009","EUR","Euro","9","Billions",,,132.41,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2010","2010","EUR","Euro","9","Billions",,,135.47,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2011","2011","EUR","Euro","9","Billions",,,138.84,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2012","2012","EUR","Euro","9","Billions",,,140.38,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2013","2013","EUR","Euro","9","Billions",,,140.33,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2014","2014","EUR","Euro","9","Billions",,,136.61,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2015","2015","EUR","Euro","9","Billions",,,137.2,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2016","2016","EUR","Euro","9","Billions",,,135.6,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2017","2017","EUR","Euro","9","Billions",,,143.8,,
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2018","2018","EUR","Euro","9","Billions",,,153,,
