"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,0.07,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,0.02,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,0.02,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,0.01,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,0.01,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,0.03,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0.04,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.04,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.03,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.75,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.28,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.75,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.43,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,0.25,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,0.25,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,0.1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-01","Jan-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-02","Feb-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-04","Apr-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-05","May-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-06","Jun-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-07","Jul-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-08","Aug-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,1.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,1.28,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,1.02,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,0.76,,
